"year" "mission"
1997 "97003"
1998 "98050"
1998 "98002"
1999 "99054"
1999 "99003"
2000 "HUD2000050"
2000 "PAR2000002"
2001 "HUD2001061"
2001 "HUD2001009"
2002 "HUD2002064"
2002 "SWA2002916"
2003 "HUD2003067"
2003 "HUD2003005"
2004 "HUD2004055"
2004 "HUD2004009"
2005 "HUD2005055"
2005 "NED2005004"
2006 "HUD2006052"
2006 "HUD2006008"
2007 "HUD2007045"
2007 "HUD2007001"
2008 "HUD2008037"
2008 "HUD2008004"
2009 "HUD2009048"
2009 "HUD2009005"
2010 "HUD2010070"
2010 "HUD2010006"
2011 "HUD2011043"
2011 "HUD2011004"
2012 "HUD2012042"
2013 "HUD2013037"
2013 "HUD2013004"
2014 "HUD2014030"
2014 "HUD2014004"
2015 "HUD2015030"
2015 "HUD2015004"
2016 "HUD2016027"
2016 "HUD2016003"
2017 "EN606"
2017 "COR2017001"
2018 "HUD2018030"
2018 "HUD2018004"
2019 "COR2019001"
2020 "HUD2020063"
